05_4_1	0	0.859	0	0.765
05_8_1	0	0.859	0	0.765
05_16_1	0	0.859	0	0.798
05_32_1	0	0.867	0	0.798
06_4_1	0	0.859	0	0.798
06_8_1	0	0.842	0	0.757
06_16_1	0	0.834	0	0.765
06_32_1	0	0.867	0	0.773
07_4_1	0	0.859	0	0.765
07_8_1	0	0.875	0	0.782
07_16_1	0	0.850	0	0.757
07_32_1	0	0.842	0	0.773
08_4_1	0	0.859	0	0.798
08_8_1	0	0.850	0	0.782
08_16_1	0	0.867	0	0.757
08_32_1	0	0.859	0	0.757
09_4_1	0	0.875	0	0.765
09_8_1	0	0.867	0	0.798
09_16_1	0	0.892	0	0.790
09_32_1	0	0.867	0	0.790
10_4_1	0	0.867	0	0.796
10_8_1	0	0.884	0	0.790
10_16_1	0	0.892	0	0.815
10_32_1	0	0.867	0	0.807
11_4_1	0	0.900	0	0.815
11_8_1	0	0.884	0	0.823
11_16_1	0	0.900	0	0.815
11_32_1	0	0.900	0	0.806
12_4_1	0	0.875	0	0.765
12_8_1	0	0.900	0	0.782
12_16_1	0	0.909	0	0.815
12_32_1	0	0.934	0	0.840
13_4_1	0	0.892	0	0.773
13_8_1	0	0.934	0	0.790
13_16_1	0	0.984	0	0.854
13_32_1	0	1.017	0	0.873
14_4_1	0	0.917	0	0.832
14_8_1	0	0.992	0	0.840
14_16_1	0	1.042	0	0.882
14_32_1	0	1.175	0	0.965
15_4_1	0	0.976	0	0.873
15_8_1	0	1.084	0	0.882
15_16_1	0	1.192	0	0.998
15_32_1	0	1.492	0	1.173
16_4_1	0	1.042	0	0.898
16_8_1	0	1.167	0	1.007
16_16_1	0	1.542	0	1.207
16_32_1	0	2.125	0	1.523
17_4_1	0	1.275	0	1.023
17_8_1	0	1.708	0	1.232
17_16_1	0	2.308	0	1.623
17_32_1	0	3.499	0	2.347
18_4_1	0	1.817	0	1.339
18_8_1	0	2.508	0	1.748
18_16_1	0	3.266	0	2.231
18_32_1	0	6.239	0	4.111
19_4_1	0	2.866	0	1.865
19_8_1	0	3.466	0	2.422
19_16_1	0	6.756	0	4.338
19_32_1	0	12.386	0	7.385
20_4_1	0	3.799	0	2.572
20_8_1	0	6.214	0	4.313
20_16_1	0	10.854	0	7.353
20_32_1	0	23.031	0	14.814
21_4_1	0	9.013	0	5.568
21_8_1	0	11.970	0	7.653
21_16_1	0	22.315	0	14.381
21_32_1	0	40.581	0	27.826
22_4_1	0	18.783	0	11.659
22_8_1	0	24.532	0	15.124
22_16_1	0	56.714	0	35.571
22_32_1	1	26.275	0	56.883
