05_4_1	0	0.859	0	0.773
05_8_1	0	0.859	0	0.765
05_16_1	0	0.842	0	0.823
05_32_1	0	0.892	0	0.774
06_4_1	0	0.842	0	0.773
06_8_1	0	0.859	0	0.757
06_16_1	0	0.867	0	0.765
06_32_1	0	0.850	0	0.773
07_4_1	0	0.850	0	0.790
07_8_1	0	0.867	0	0.757
07_16_1	0	0.842	0	0.757
07_32_1	0	0.825	0	0.790
08_4_1	0	0.867	0	0.807
08_8_1	0	0.834	0	0.765
08_16_1	0	0.842	0	0.749
08_32_1	0	0.875	0	0.790
09_4_1	0	0.892	0	0.790
09_8_1	0	0.900	0	0.798
09_16_1	0	0.859	0	0.765
09_32_1	0	0.867	0	0.764
10_4_1	0	0.892	0	0.782
10_8_1	0	0.875	0	0.857
10_16_1	0	0.842	0	0.765
10_32_1	0	0.851	0	0.765
11_4_1	0	0.867	0	0.798
11_8_1	0	0.909	0	0.798
11_16_1	0	0.867	0	0.840
11_32_1	0	0.875	0	0.799
12_4_1	0	0.892	0	0.790
12_8_1	0	0.900	0	0.815
12_16_1	0	0.875	0	0.807
12_32_1	0	0.884	0	0.782
13_4_1	0	0.884	0	0.807
13_8_1	0	0.892	0	0.815
13_16_1	0	0.984	0	0.845
13_32_1	0	0.967	0	0.848
14_4_1	0	0.909	0	0.807
14_8_1	0	0.942	0	0.832
14_16_1	0	1.009	0	0.865
14_32_1	0	1.117	0	0.932
15_4_1	0	0.942	0	0.832
15_8_1	0	1.042	0	0.898
15_16_1	0	1.159	0	0.957
15_32_1	0	1.417	0	1.132
16_4_1	0	1.117	0	0.907
16_8_1	0	1.234	0	0.965
16_16_1	0	1.475	0	1.198
16_32_1	0	2.008	0	1.523
17_4_1	0	1.242	0	1.049
17_8_1	0	1.542	0	1.215
17_16_1	0	2.141	0	1.565
17_32_1	0	3.249	0	2.289
18_4_1	0	1.692	0	1.323
18_8_1	0	2.283	0	1.665
18_16_1	0	3.574	0	2.422
18_32_1	0	5.898	0	3.951
19_4_1	0	2.524	0	1.848
19_8_1	0	3.884	0	2.707
19_16_1	0	6.456	0	4.396
19_32_1	0	11.429	0	7.503
20_4_1	0	4.457	0	3.114
20_8_1	0	7.589	0	5.034
20_16_1	0	13.794	0	9.127
20_32_1	0	24.689	0	16.601
21_4_1	0	8.805	0	5.871
21_8_1	0	15.547	0	10.227
21_16_1	0	27.695	0	18.601
21_32_1	0	52.429	0	34.473
22_4_1	0	17.811	0	11.494
22_8_1	0	32.485	0	21.055
22_16_1	0	58.030	0	37.676
22_32_1	1	52.212	1	13.499
